description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
{'Checking account': 'unknown'},0.8838,0.0,1.0,0.4971,0.8467,72.2,0.0722,92.2112,0.0017,0.0111,0.1979,0.401,-0.1097,-0.401,0.078,0.0382,-0.0382,-0.0184
"{'Age': '>=25.5', 'Checking account': 'unknown'}",0.8953,0.0,1.0,0.44,0.88,67.2,0.0672,82.7302,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0682,0.0338,-0.0338,-0.0146
"{'Checking account': 'unknown', 'Credit amount': '<3913.5'}",0.9169,0.0,1.0,0.3943,0.9167,65.3,0.0653,75.9229,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0597,0.0303,-0.0303,-0.0101
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5'}",0.931,0.0,1.0,0.3471,0.94,60.3,0.0603,67.8724,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0518,0.0267,-0.0267,-0.0073
"{'Checking account': 'unknown', 'Housing': 'own'}",0.8954,0.0,1.0,0.3886,0.8933,59.2,0.0592,73.0105,0.0024,0.0167,0.1977,0.3991,-0.1097,-0.3991,0.0601,0.0298,-0.0298,-0.0128
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Housing': 'own'}",0.8993,0.0,1.0,0.3571,0.9067,55.4,0.0554,67.446,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0552,0.0274,-0.0274,-0.0113
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Housing': 'own'}",0.9241,0.0,1.0,0.3129,0.94,53.1,0.0531,60.7101,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.047,0.024,-0.024,-0.0073
"{'Checking account': 'unknown', 'Job': 2}",0.8992,0.0,1.0,0.3414,0.91,52.8,0.0528,64.4222,0.0025,0.0167,0.1976,0.3979,-0.1097,-0.3979,0.0526,0.0262,-0.0262,-0.0107
"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Housing': 'own'}",0.8035,0.0333,0.9587,0.5329,0.7,48.9,0.0489,90.1484,0.0431,0.1397,0.134,0.2453,-0.0684,-0.2453,0.0621,0.0259,-0.0255,-0.0221
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Job': 2}",0.9152,0.0,1.0,0.2929,0.9367,48.2,0.0482,56.2835,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0444,0.0225,-0.0225,-0.0077
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Job': 2}",0.9286,0.0,1.0,0.2786,0.95,48.0,0.048,54.3214,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0417,0.0214,-0.0214,-0.0061
"{'Age': '>=25.5', 'Credit amount': '<3913.5'}",0.7837,0.0346,0.9556,0.6557,0.5633,46.0,0.046,107.1259,0.0423,0.111,0.1235,0.2237,-0.0653,-0.2237,0.0729,0.0311,-0.03,-0.0293
"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.8399,0.0025,0.997,0.3857,0.83,45.3,0.0453,68.1308,0.0132,0.0235,0.1947,0.3975,-0.1068,-0.3975,0.0625,0.0288,-0.0288,-0.0203
"{'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.8064,0.0168,0.9792,0.4671,0.7433,44.2,0.0442,79.4027,0.087,0.1591,0.1677,0.3326,-0.0889,-0.3326,0.0678,0.0291,-0.0291,-0.0256
"{'Credit amount': '<3913.5', 'Housing': 'own'}",0.7904,0.0397,0.9492,0.6071,0.6033,44.2,0.0442,99.6094,0.0806,0.1991,0.1098,0.1818,-0.0589,-0.1818,0.0597,0.0256,-0.025,-0.0216
"{'Checking account': 'unknown', 'Housing': 'own', 'Job': 2}",0.914,0.0,1.0,0.27,0.94,44.1,0.0441,51.7696,0.0033,0.025,0.1974,0.3942,-0.1097,-0.3942,0.0409,0.0207,-0.0207,-0.0071
"{'Checking account': 'unknown', 'Duration': '<15.5'}",0.9333,0.0,1.0,0.24,0.96,42.0,0.042,47.04,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0357,0.0184,-0.0184,-0.0049
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.9415,0.0,1.0,0.23,0.9667,41.3,0.0413,45.4754,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0339,0.0177,-0.0177,-0.0041
"{'Age': '>=25.5', 'Duration': '<15.5'}",0.8314,0.0035,0.9957,0.4029,0.7933,41.2,0.0412,69.3523,0.0124,0.0224,0.1798,0.3215,-0.1055,-0.3215,0.0618,0.0297,-0.0297,-0.0199
{'Duration': '<15.5'},0.7986,0.019,0.976,0.4886,0.7033,40.3,0.0403,81.4135,0.0756,0.121,0.1552,0.2885,-0.0857,-0.2885,0.0669,0.0293,-0.0293,-0.0257
"{'Age': '>=25.5', 'Housing': 'own'}",0.7809,0.0567,0.926,0.6643,0.5267,40.1,0.0401,106.8657,0.0374,0.0632,0.0702,0.0997,-0.0357,-0.0997,0.0426,0.0174,-0.0166,-0.0142
"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own'}",0.8364,0.0074,0.9911,0.3529,0.8333,39.1,0.0391,61.6253,0.0617,0.18,0.1789,0.3333,-0.1008,-0.3333,0.0531,0.0249,-0.0249,-0.0167
"{'Age': '>=25.5', 'Duration': '<15.5', 'Housing': 'own'}",0.8511,0.0038,0.9955,0.32,0.86,37.8,0.0378,56.5895,0.0157,0.0387,0.1819,0.3244,-0.1053,-0.3244,0.0484,0.0236,-0.0236,-0.0136
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '<15.5'}",0.9419,0.0,1.0,0.2086,0.97,37.5,0.0375,41.2568,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0308,0.016,-0.016,-0.0036
"{'Duration': '<15.5', 'Housing': 'own'}",0.828,0.0083,0.9898,0.3657,0.8067,36.2,0.0362,62.614,0.059,0.1535,0.1691,0.2915,-0.0996,-0.2915,0.0531,0.0255,-0.0255,-0.0169
"{'Credit amount': '<3913.5', 'Housing': 'own', 'Job': 2}",0.8028,0.0427,0.9465,0.4057,0.76,34.8,0.0348,67.9685,0.0851,0.1916,0.108,0.1692,-0.0562,-0.1692,0.0384,0.016,-0.016,-0.0122
"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Job': 2}",0.8032,0.0305,0.9615,0.4229,0.74,34.2,0.0342,70.2802,0.0449,0.1116,0.1257,0.2028,-0.0712,-0.2028,0.047,0.0211,-0.0211,-0.0158
{'Credit amount': '<3913.5'},0.7635,0.0505,0.9321,0.7871,0.37,33.0,0.033,123.0815,0.1189,0.2186,0.0784,0.1334,-0.0418,-0.1334,0.058,0.0252,-0.0231,-0.0252
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Saving accounts': 'little'}",0.8963,0.0,1.0,0.21,0.9433,32.2,0.0322,39.5287,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0325,0.0161,-0.0161,-0.0069
"{'Age': '>=25.5', 'Housing': 'own', 'Job': 2}",0.7989,0.056,0.9286,0.42,0.73,31.5,0.0315,69.1488,0.0463,0.0893,0.0715,0.0806,-0.0383,-0.0769,0.0268,0.0113,-0.0113,-0.0062
"{'Checking account': 'unknown', 'Saving accounts': 'little'}",0.8649,0.0,1.0,0.2357,0.9133,31.3,0.0313,42.7618,0.0033,0.02,0.1974,0.3976,-0.1097,-0.3976,0.0377,0.0181,-0.0181,-0.0103
"{'Checking account': 'unknown', 'Purpose': 'radio/TV'}",0.9449,0.0,1.0,0.1714,0.9767,31.1,0.0311,34.0157,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0252,0.0132,-0.0132,-0.0028
"{'Checking account': 'unknown', 'Duration': '<15.5', 'Housing': 'own'}",0.9385,0.0,1.0,0.1743,0.9733,31.0,0.031,34.3477,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0258,0.0134,-0.0134,-0.0032
"{'Checking account': 'unknown', 'Duration': '>=15.5'}",0.8421,0.0,1.0,0.2571,0.8867,30.2,0.0302,45.4206,0.0037,0.0154,0.1975,0.3995,-0.1097,-0.3995,0.0423,0.0197,-0.0197,-0.0136
"{'Checking account': 'unknown', 'Duration': '<15.5', 'Job': 2}",0.9569,0.0,1.0,0.1586,0.9833,29.8,0.0298,31.8647,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.023,0.0122,-0.0122,-0.002
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '>=15.5'}",0.8571,0.0,1.0,0.2314,0.91,29.7,0.0297,41.6571,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0375,0.0178,-0.0178,-0.0109
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Saving accounts': 'little'}",0.8947,0.0,1.0,0.1943,0.9467,29.6,0.0296,36.5053,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0302,0.0149,-0.0149,-0.0065
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Purpose': 'radio/TV'}",0.9554,0.0,1.0,0.1529,0.9833,28.6,0.0286,30.667,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0222,0.0117,-0.0117,-0.002
"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.8465,0.0335,0.9608,0.2257,0.91,28.5,0.0285,40.4822,0.1049,0.2614,0.1389,0.2276,-0.0705,-0.2276,0.0257,0.0111,-0.0111,-0.0061
"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Housing': 'own'}",0.8632,0.0,1.0,0.2143,0.92,28.2,0.0282,38.7931,0.005,0.0222,0.1973,0.397,-0.1097,-0.397,0.0343,0.0165,-0.0165,-0.0095
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.9545,0.0,1.0,0.15,0.9833,28.0,0.028,30.0682,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0218,0.0115,-0.0115,-0.002
{'Housing': 'own'},0.7731,0.0623,0.9157,0.7529,0.38,27.9,0.0279,116.8565,0.0713,0.1072,0.0399,0.0394,-0.0255,-0.0365,0.0285,0.0134,-0.0134,-0.0068
"{'Age': '>=25.5', 'Duration': '<15.5', 'Job': 2}",0.849,0.0041,0.9952,0.2357,0.8967,27.8,0.0278,41.6709,0.03,0.0724,0.1831,0.3344,-0.1049,-0.3344,0.0359,0.0173,-0.0173,-0.0104
"{'Checking account': 'unknown', 'Housing': 'own', 'Saving accounts': 'little'}",0.8779,0.0,1.0,0.1929,0.9367,27.2,0.0272,35.5032,0.0044,0.0333,0.1971,0.3948,-0.1097,-0.3948,0.0304,0.0148,-0.0148,-0.0075
"{'Age': '>=25.5', 'Purpose': 'radio/TV'}",0.8333,0.0343,0.9584,0.2543,0.8733,26.8,0.0268,44.0056,0.1152,0.2343,0.1206,0.158,-0.0681,-0.158,0.0261,0.0121,-0.0121,-0.006
"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Job': 2}",0.8016,0.022,0.9727,0.2829,0.8433,26.5,0.0265,48.0049,0.1046,0.1726,0.1608,0.3245,-0.0824,-0.3245,0.0394,0.0165,-0.0163,-0.0153
"{'Checking account': 'unknown', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.9444,0.0,1.0,0.1457,0.98,26.4,0.0264,28.9,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0214,0.0112,-0.0112,-0.0024
"{'Duration': '<15.5', 'Job': 2}",0.7992,0.0249,0.9689,0.2943,0.83,26.1,0.0261,49.5362,0.0979,0.1677,0.1509,0.2916,-0.0786,-0.2916,0.0388,0.0163,-0.0162,-0.0149
"{'Housing': 'own', 'Job': 2}",0.7889,0.0615,0.9187,0.4886,0.6333,25.6,0.0256,77.631,0.0645,0.0982,0.0431,0.0328,-0.0284,-0.0199,0.0195,0.0097,-0.0097,-0.0022
"{'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.8495,0.0066,0.9922,0.2186,0.9033,25.6,0.0256,38.5863,0.0678,0.2333,0.1764,0.3088,-0.1019,-0.3088,0.0321,0.0156,-0.0156,-0.009
"{'Credit amount': '<3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.8302,0.0354,0.9575,0.2286,0.8933,25.6,0.0256,40.0,0.15,0.3582,0.1307,0.2116,-0.0672,-0.2116,0.0251,0.0108,-0.0108,-0.0068
"{'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.8167,0.0392,0.9513,0.2757,0.8433,25.0,0.025,46.5613,0.1461,0.2979,0.1076,0.1415,-0.061,-0.1415,0.0258,0.0118,-0.0118,-0.0067
"{'Checking account': 'unknown', 'Job': 2, 'Purpose': 'radio/TV'}",0.9495,0.0,1.0,0.1343,0.9833,24.7,0.0247,26.7758,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0196,0.0103,-0.0103,-0.002
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.8846,0.0,1.0,0.1643,0.95,24.0,0.024,30.5192,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0258,0.0126,-0.0126,-0.0061
"{'Credit amount': '<3913.5', 'Job': 2}",0.7685,0.0513,0.9315,0.5171,0.5967,23.9,0.0239,81.3938,0.1382,0.2057,0.0767,0.1243,-0.0412,-0.1243,0.037,0.0162,-0.0149,-0.015
"{'Age': '>=25.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.844,0.0297,0.9642,0.2157,0.8967,23.6,0.0236,37.5841,0.1094,0.225,0.1248,0.1473,-0.074,-0.1473,0.0227,0.0112,-0.0112,-0.0046
{'Age': '>=25.5'},0.758,0.0642,0.9119,0.8429,0.2667,23.0,0.023,128.9259,0.0457,0.0837,0.0404,0.0599,-0.0216,-0.0599,0.0327,0.0139,-0.0127,-0.0132
"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Job': 2}",0.8547,0.0,1.0,0.1829,0.9267,23.0,0.023,32.768,0.0051,0.0222,0.1971,0.3962,-0.1097,-0.3962,0.0296,0.014,-0.014,-0.0087
{'Saving accounts': 'unknown'},0.8164,0.0186,0.9775,0.2157,0.8933,22.9,0.0229,37.3787,0.0671,0.1012,0.17,0.3491,-0.0872,-0.3491,0.0311,0.0132,-0.0132,-0.0112
"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Saving accounts': 'little'}",0.7847,0.0258,0.9673,0.28,0.8267,22.4,0.0224,46.471,0.129,0.2221,0.1524,0.3092,-0.0771,-0.3092,0.0378,0.0161,-0.0151,-0.0161
