quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift
0.07220000000000001,Checking account=='unknown',394,1000,348,700,606,0.394,0.606,0.49714285714285716,0.5028571428571429,0.883248730964467,0.5808580858085809,0.7,1.26178390137781
0.06720000000000002,Age=='>=25.5' AND Checking account=='unknown',344,1000,308,700,656,0.344,0.656,0.44,0.56,0.8953488372093024,0.5975609756097561,0.7,1.2790697674418605
0.06530000000000001,Checking account=='unknown' AND Credit amount=='<3913.5',301,1000,276,700,699,0.301,0.699,0.3942857142857143,0.6057142857142858,0.9169435215946844,0.6065808297567954,0.7,1.309919316563835
0.060300000000000006,Age=='>=25.5' AND Checking account=='unknown' AND Credit amount=='<3913.5',261,1000,243,700,739,0.261,0.739,0.34714285714285714,0.6528571428571428,0.9310344827586207,0.618403247631935,0.7,1.330049261083744
0.059200000000000016,Checking account=='unknown' AND Housing=='own',304,1000,272,700,696,0.304,0.696,0.38857142857142857,0.6114285714285714,0.8947368421052632,0.6149425287356322,0.7,1.2781954887218046
0.055400000000000005,Age=='>=25.5' AND Checking account=='unknown' AND Housing=='own',278,1000,250,700,722,0.278,0.722,0.35714285714285715,0.6428571428571429,0.8992805755395683,0.6232686980609419,0.7,1.2846865364850977
0.053100000000000015,Checking account=='unknown' AND Credit amount=='<3913.5' AND Housing=='own',237,1000,219,700,763,0.237,0.763,0.31285714285714283,0.6871428571428572,0.9240506329113924,0.6304062909567497,0.7,1.3200723327305608
0.05280000000000002,Checking account=='unknown' AND Job==2,266,1000,239,700,734,0.266,0.734,0.3414285714285714,0.6585714285714286,0.8984962406015038,0.6280653950953679,0.7,1.2835660580021484
0.048900000000000006,Age=='>=25.5' AND Credit amount=='<3913.5' AND Housing=='own',463,1000,373,700,537,0.463,0.537,0.5328571428571428,0.46714285714285714,0.8056155507559395,0.6089385474860335,0.7,1.1508793582227708
0.04820000000000001,Age=='>=25.5' AND Checking account=='unknown' AND Job==2,224,1000,205,700,776,0.224,0.776,0.29285714285714287,0.7071428571428572,0.9151785714285714,0.6378865979381443,0.7,1.3073979591836735
0.048000000000000015,Checking account=='unknown' AND Credit amount=='<3913.5' AND Job==2,210,1000,195,700,790,0.21,0.79,0.2785714285714286,0.7214285714285714,0.9285714285714286,0.6392405063291139,0.7,1.326530612244898
0.04599999999999999,Age=='>=25.5' AND Credit amount=='<3913.5',590,1000,459,700,410,0.59,0.41,0.6557142857142857,0.3442857142857143,0.7779661016949152,0.5878048780487805,0.7,1.1113801452784504
0.04530000000000001,Age=='>=25.5' AND Credit amount=='<3913.5' AND Duration=='<15.5',321,1000,270,700,679,0.321,0.679,0.38571428571428573,0.6142857142857143,0.8411214953271028,0.6332842415316642,0.7,1.2016021361815754
0.044200000000000045,Credit amount=='<3913.5' AND Duration=='<15.5',404,1000,327,700,596,0.404,0.596,0.46714285714285714,0.5328571428571428,0.8094059405940595,0.6258389261744967,0.7,1.1562942008486565
0.044200000000000024,Credit amount=='<3913.5' AND Housing=='own',544,1000,425,700,456,0.544,0.456,0.6071428571428571,0.39285714285714285,0.78125,0.6030701754385965,0.7,1.1160714285714286
0.04409999999999999,Checking account=='unknown' AND Housing=='own' AND Job==2,207,1000,189,700,793,0.207,0.793,0.27,0.73,0.9130434782608695,0.6443883984867591,0.7,1.3043478260869565
0.04200000000000001,Checking account=='unknown' AND Duration=='<15.5',180,1000,168,700,820,0.18,0.82,0.24,0.76,0.9333333333333333,0.6487804878048781,0.7,1.3333333333333335
0.04130000000000001,Checking account=='unknown' AND Credit amount=='<3913.5' AND Duration=='<15.5',171,1000,161,700,829,0.171,0.829,0.23,0.77,0.9415204678362573,0.6501809408926418,0.7,1.345029239766082
0.041200000000000014,Age=='>=25.5' AND Duration=='<15.5',344,1000,282,700,656,0.344,0.656,0.40285714285714286,0.5971428571428572,0.8197674418604651,0.6371951219512195,0.7,1.1710963455149503
0.04030000000000004,Duration=='<15.5',431,1000,342,700,569,0.431,0.569,0.48857142857142855,0.5114285714285715,0.7935034802784223,0.6291739894551845,0.7,1.1335764003977462
0.040100000000000025,Age=='>=25.5' AND Housing=='own',607,1000,465,700,393,0.607,0.393,0.6642857142857143,0.3357142857142857,0.7660626029654036,0.5979643765903307,0.7,1.0943751470934338
0.03910000000000001,Credit amount=='<3913.5' AND Duration=='<15.5' AND Housing=='own',297,1000,247,700,703,0.297,0.703,0.35285714285714287,0.6471428571428571,0.8316498316498316,0.6443812233285917,0.7,1.188071188071188
0.0378,Age=='>=25.5' AND Duration=='<15.5' AND Housing=='own',266,1000,224,700,734,0.266,0.734,0.32,0.68,0.8421052631578947,0.6485013623978202,0.7,1.2030075187969924
0.0375,Age=='>=25.5' AND Checking account=='unknown' AND Duration=='<15.5',155,1000,146,700,845,0.155,0.845,0.20857142857142857,0.7914285714285715,0.9419354838709677,0.6556213017751479,0.7,1.3456221198156681
0.036200000000000024,Duration=='<15.5' AND Housing=='own',314,1000,256,700,686,0.314,0.686,0.3657142857142857,0.6342857142857142,0.8152866242038217,0.6472303206997084,0.7,1.164695177434031
0.0348,Credit amount=='<3913.5' AND Housing=='own' AND Job==2,356,1000,284,700,644,0.356,0.644,0.4057142857142857,0.5942857142857143,0.797752808988764,0.6459627329192547,0.7,1.1396468699839486
0.034200000000000036,Age=='>=25.5' AND Credit amount=='<3913.5' AND Job==2,374,1000,296,700,626,0.374,0.626,0.4228571428571429,0.5771428571428572,0.7914438502673797,0.645367412140575,0.7,1.1306340718105425
0.03300000000000007,Credit amount=='<3913.5',740,1000,551,700,260,0.74,0.26,0.7871428571428571,0.21285714285714286,0.7445945945945946,0.573076923076923,0.7,1.063706563706564
0.03220000000000001,Age=='>=25.5' AND Checking account=='unknown' AND Saving accounts=='little',164,1000,147,700,836,0.164,0.836,0.21,0.79,0.8963414634146342,0.6614832535885168,0.7,1.2804878048780488
0.03150000000000003,Age=='>=25.5' AND Housing=='own' AND Job==2,375,1000,294,700,625,0.375,0.625,0.42,0.58,0.784,0.6496,0.7,1.12
0.0313,Checking account=='unknown' AND Saving accounts=='little',191,1000,165,700,809,0.191,0.809,0.2357142857142857,0.7642857142857142,0.8638743455497382,0.6613102595797281,0.7,1.2341062079281975
0.031100000000000006,Checking account=='unknown' AND Purpose=='radio/TV',127,1000,120,700,873,0.127,0.873,0.17142857142857143,0.8285714285714286,0.9448818897637795,0.6643757159221076,0.7,1.3498312710911138
0.031000000000000007,Checking account=='unknown' AND Duration=='<15.5' AND Housing=='own',130,1000,122,700,870,0.13,0.87,0.1742857142857143,0.8257142857142857,0.9384615384615385,0.664367816091954,0.7,1.3406593406593408
0.030200000000000005,Checking account=='unknown' AND Duration=='>=15.5',214,1000,180,700,786,0.214,0.786,0.2571428571428571,0.7428571428571429,0.8411214953271028,0.6615776081424937,0.7,1.2016021361815754
0.029800000000000004,Checking account=='unknown' AND Duration=='<15.5' AND Job==2,116,1000,111,700,884,0.116,0.884,0.15857142857142856,0.8414285714285714,0.9568965517241379,0.666289592760181,0.7,1.3669950738916257
0.0297,Age=='>=25.5' AND Checking account=='unknown' AND Duration=='>=15.5',189,1000,162,700,811,0.189,0.811,0.23142857142857143,0.7685714285714286,0.8571428571428571,0.6633785450061652,0.7,1.2244897959183674
0.029600000000000008,Checking account=='unknown' AND Credit amount=='<3913.5' AND Saving accounts=='little',152,1000,136,700,848,0.152,0.848,0.19428571428571428,0.8057142857142857,0.8947368421052632,0.6650943396226415,0.7,1.2781954887218046
0.02860000000000001,Age=='>=25.5' AND Checking account=='unknown' AND Purpose=='radio/TV',112,1000,107,700,888,0.112,0.888,0.15285714285714286,0.8471428571428572,0.9553571428571429,0.6677927927927928,0.7,1.364795918367347
0.02850000000000002,Age=='>=25.5' AND Credit amount=='<3913.5' AND Purpose=='radio/TV',185,1000,158,700,815,0.185,0.815,0.2257142857142857,0.7742857142857142,0.8540540540540541,0.6650306748466258,0.7,1.2200772200772203
0.028199999999999996,Checking account=='unknown' AND Duration=='>=15.5' AND Housing=='own',174,1000,150,700,826,0.174,0.826,0.21428571428571427,0.7857142857142857,0.8620689655172413,0.6658595641646489,0.7,1.2315270935960592
0.02800000000000001,Checking account=='unknown' AND Credit amount=='<3913.5' AND Purpose=='radio/TV',110,1000,105,700,890,0.11,0.89,0.15,0.85,0.9545454545454546,0.6685393258426966,0.7,1.3636363636363638
0.027899999999999994,Housing=='own',713,1000,527,700,287,0.713,0.287,0.7528571428571429,0.24714285714285714,0.7391304347826086,0.6027874564459931,0.7,1.0559006211180124
0.02780000000000001,Age=='>=25.5' AND Duration=='<15.5' AND Job==2,196,1000,165,700,804,0.196,0.804,0.2357142857142857,0.7642857142857142,0.8418367346938775,0.6654228855721394,0.7,1.2026239067055393
0.02720000000000001,Checking account=='unknown' AND Housing=='own' AND Saving accounts=='little',154,1000,135,700,846,0.154,0.846,0.19285714285714287,0.8071428571428572,0.8766233766233766,0.6678486997635934,0.7,1.2523191094619668
0.026800000000000008,Age=='>=25.5' AND Purpose=='radio/TV',216,1000,178,700,784,0.216,0.784,0.2542857142857143,0.7457142857142857,0.8240740740740741,0.6658163265306123,0.7,1.1772486772486772
0.026500000000000017,Credit amount=='<3913.5' AND Duration=='<15.5' AND Job==2,245,1000,198,700,755,0.245,0.755,0.28285714285714286,0.7171428571428572,0.8081632653061225,0.6649006622516557,0.7,1.154518950437318
