,description
0,Duration: <15.5
1,Duration: >=15.5
2,Checking account: little
3,Housing: rent
4,Purpose: furniture/equipment
5,Checking account: moderate
6,Credit amount: <3913.5
7,Purpose: car
8,Checking account: unknown
9,Age: <25.5
10,Purpose: radio/TV
11,Credit amount: >=3913.5
12,Checking account: rich
13,"Checking account: little, Duration: <15.5"
14,"Checking account: moderate, Duration: >=15.5"
15,"Checking account: unknown, Duration: <15.5"
16,"Checking account: little, Duration: >=15.5"
17,"Duration: >=15.5, Saving accounts: unknown"
18,"Checking account: unknown, Duration: >=15.5"
19,"Credit amount: <3913.5, Duration: <15.5"
20,"Age: <25.5, Housing: rent"
21,"Duration: <15.5, Purpose: car"
22,"Duration: >=15.5, Purpose: radio/TV"
23,"Checking account: moderate, Duration: <15.5"
24,"Credit amount: <3913.5, Duration: >=15.5"
25,"Credit amount: <3913.5, Purpose: furniture/equipment"
26,"Credit amount: >=3913.5, Duration: >=15.5"
27,"Duration: <15.5, Purpose: radio/TV"
28,"Duration: <15.5, Saving accounts: little"
29,"Checking account: moderate, Credit amount: >=3913.5"
30,"Checking account: moderate, Purpose: car"
31,"Duration: <15.5, Housing: own"
32,"Checking account: moderate, Credit amount: <3913.5"
33,"Age: <25.5, Duration: >=15.5"
34,"Duration: <15.5, Purpose: furniture/equipment"
35,"Duration: >=15.5, Job: 2"
36,"Age: <25.5, Credit amount: <3913.5"
37,"Checking account: little, Purpose: furniture/equipment"
38,"Checking account: rich, Duration: >=15.5"
39,"Duration: >=15.5, Purpose: furniture/equipment"
40,"Checking account: unknown, Purpose: car"
41,"Age: >=25.5, Duration: <15.5"
42,"Duration: >=15.5, Purpose: car"
43,"Checking account: unknown, Credit amount: >=3913.5"
44,"Checking account: rich, Duration: <15.5"
45,"Housing: rent, Purpose: car"
46,"Purpose: radio/TV, Saving accounts: unknown"
47,"Duration: <15.5, Saving accounts: moderate"
48,"Duration: >=15.5, Purpose: business"
49,"Age: >=25.5, Duration: >=15.5"
50,"Duration: <15.5, Saving accounts: unknown"
51,"Duration: >=15.5, Housing: own"
52,"Duration: >=15.5, Saving accounts: moderate"
53,"Duration: >=15.5, Saving accounts: little"
54,"Checking account: little, Credit amount: >=3913.5"
55,"Checking account: unknown, Credit amount: <3913.5"
56,"Credit amount: <3913.5, Saving accounts: little"
57,"Age: <25.5, Duration: <15.5"
58,"Age: >=25.5, Credit amount: <3913.5"
59,"Credit amount: <3913.5, Purpose: radio/TV"
60,"Checking account: little, Credit amount: <3913.5"
61,"Credit amount: <3913.5, Saving accounts: unknown"
62,"Credit amount: <3913.5, Purpose: car"
63,"Credit amount: >=3913.5, Purpose: car"
64,"Credit amount: <3913.5, Housing: rent"
65,"Duration: <15.5, Housing: rent"
66,"Checking account: little, Purpose: radio/TV"
67,"Duration: <15.5, Housing: free"
68,"Age: <25.5, Checking account: moderate"
69,"Checking account: rich, Purpose: radio/TV"
70,"Duration: >=15.5, Saving accounts: quite rich"
71,"Duration: >=15.5, Saving accounts: rich"
72,"Checking account: little, Credit amount: <3913.5, Duration: <15.5"
73,"Checking account: moderate, Duration: >=15.5, Purpose: car"
74,"Checking account: unknown, Credit amount: <3913.5, Duration: <15.5"
75,"Checking account: little, Credit amount: >=3913.5, Duration: >=15.5"
76,"Checking account: little, Duration: >=15.5, Purpose: car"
77,"Checking account: unknown, Duration: >=15.5, Saving accounts: unknown"
78,"Checking account: unknown, Duration: >=15.5, Purpose: furniture/equipment"
79,"Checking account: moderate, Credit amount: >=3913.5, Duration: >=15.5"
80,"Age: >=25.5, Credit amount: <3913.5, Duration: <15.5"
81,"Age: <25.5, Credit amount: <3913.5, Housing: rent"
82,"Credit amount: <3913.5, Duration: <15.5, Job: 2"
83,"Checking account: little, Credit amount: <3913.5, Duration: >=15.5"
84,"Age: >=25.5, Duration: <15.5, Purpose: car"
85,"Checking account: little, Duration: >=15.5, Purpose: radio/TV"
86,"Checking account: moderate, Duration: >=15.5, Saving accounts: unknown"
87,"Credit amount: <3913.5, Duration: >=15.5, Purpose: radio/TV"
88,"Checking account: little, Duration: <15.5, Purpose: car"
89,"Checking account: moderate, Credit amount: <3913.5, Duration: <15.5"
90,"Checking account: moderate, Duration: <15.5, Purpose: radio/TV"
91,"Age: >=25.5, Credit amount: <3913.5, Duration: >=15.5"
92,"Age: >=25.5, Checking account: unknown, Duration: <15.5"
93,"Checking account: unknown, Duration: >=15.5, Purpose: business"
94,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: moderate"
95,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: radio/TV"
96,"Credit amount: <3913.5, Duration: <15.5, Purpose: furniture/equipment"
97,"Checking account: unknown, Credit amount: <3913.5, Duration: >=15.5"
98,"Checking account: unknown, Credit amount: >=3913.5, Duration: >=15.5"
99,"Credit amount: <3913.5, Duration: >=15.5, Job: 2"
100,"Checking account: unknown, Duration: <15.5, Purpose: business"
101,"Credit amount: <3913.5, Duration: <15.5, Housing: own"
102,"Credit amount: <3913.5, Duration: <15.5, Purpose: radio/TV"
103,"Age: >=25.5, Duration: <15.5, Saving accounts: little"
104,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: quite rich"
105,"Checking account: moderate, Credit amount: <3913.5, Purpose: car"
106,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: unknown"
107,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: car"
108,"Checking account: moderate, Duration: <15.5, Purpose: car"
109,"Checking account: unknown, Duration: <15.5, Purpose: radio/TV"
110,"Age: >=25.5, Duration: <15.5, Purpose: radio/TV"
111,"Checking account: moderate, Credit amount: <3913.5, Duration: >=15.5"
112,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: little"
113,"Age: >=25.5, Credit amount: >=3913.5, Duration: >=15.5"
114,"Credit amount: <3913.5, Duration: >=15.5, Purpose: car"
115,"Age: <25.5, Duration: >=15.5, Purpose: radio/TV"
116,"Age: >=25.5, Checking account: little, Duration: <15.5"
117,"Credit amount: <3913.5, Duration: >=15.5, Purpose: furniture/equipment"
118,"Checking account: moderate, Duration: >=15.5, Purpose: radio/TV"
119,"Checking account: unknown, Duration: >=15.5, Purpose: radio/TV"
120,"Checking account: little, Duration: <15.5, Purpose: radio/TV"
121,"Age: <25.5, Duration: >=15.5, Job: 2"
122,"Credit amount: >=3913.5, Duration: >=15.5, Housing: own"
123,"Credit amount: <3913.5, Duration: <15.5, Housing: rent"
124,"Age: <25.5, Credit amount: <3913.5, Purpose: radio/TV"
125,"Checking account: little, Credit amount: <3913.5, Purpose: furniture/equipment"
126,"Checking account: rich, Duration: >=15.5, Purpose: radio/TV"
127,"Checking account: unknown, Purpose: car, Saving accounts: unknown"
128,"Credit amount: <3913.5, Duration: <15.5, Purpose: car"
129,"Checking account: unknown, Duration: >=15.5, Purpose: car"
130,"Age: >=25.5, Checking account: little, Duration: >=15.5"
131,"Checking account: unknown, Credit amount: >=3913.5, Saving accounts: unknown"
132,"Checking account: unknown, Duration: >=15.5, Saving accounts: little"
133,"Checking account: little, Duration: >=15.5, Purpose: furniture/equipment"
134,"Checking account: unknown, Duration: >=15.5, Housing: own"
135,"Checking account: unknown, Duration: <15.5, Purpose: car"
136,"Checking account: rich, Credit amount: <3913.5, Duration: <15.5"
137,"Credit amount: >=3913.5, Duration: <15.5, Purpose: car"
138,"Checking account: moderate, Duration: >=15.5, Saving accounts: little"
139,"Credit amount: >=3913.5, Duration: >=15.5, Saving accounts: little"
140,"Age: <25.5, Housing: rent, Purpose: car"
141,"Age: >=25.5, Checking account: moderate, Duration: >=15.5"
142,"Checking account: little, Duration: <15.5, Housing: own"
143,"Age: <25.5, Credit amount: <3913.5, Duration: <15.5"
144,"Checking account: moderate, Duration: <15.5, Purpose: furniture/equipment"
145,"Checking account: rich, Duration: <15.5, Purpose: car"
146,"Checking account: moderate, Duration: >=15.5, Job: 3"
147,"Checking account: little, Duration: <15.5, Saving accounts: little"
148,"Credit amount: <3913.5, Duration: >=15.5, Housing: own"
149,"Duration: >=15.5, Purpose: car, Saving accounts: unknown"
150,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: little"
151,"Credit amount: >=3913.5, Duration: >=15.5, Saving accounts: unknown"
152,"Checking account: little, Duration: >=15.5, Housing: own"
153,"Duration: <15.5, Housing: own, Purpose: car"
154,"Checking account: little, Duration: <15.5, Housing: rent"
155,"Age: <25.5, Checking account: little, Credit amount: <3913.5"
156,"Checking account: unknown, Duration: <15.5, Purpose: furniture/equipment"
157,"Checking account: unknown, Purpose: radio/TV, Saving accounts: unknown"
158,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: furniture/equipment"
159,"Checking account: unknown, Duration: <15.5, Saving accounts: unknown"
160,"Checking account: unknown, Duration: <15.5, Saving accounts: moderate"
161,"Credit amount: >=3913.5, Duration: >=15.5, Job: 3"
162,"Credit amount: <3913.5, Duration: >=15.5, Purpose: business"
163,"Checking account: unknown, Duration: <15.5, Saving accounts: little"
164,"Duration: <15.5, Purpose: car, Saving accounts: little"
165,"Age: >=25.5, Duration: >=15.5, Job: 2"
166,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: unknown"
167,"Age: >=25.5, Checking account: moderate, Duration: <15.5"
168,"Duration: >=15.5, Housing: own, Saving accounts: little"
169,"Checking account: little, Duration: >=15.5, Job: 2"
170,"Checking account: little, Duration: >=15.5, Housing: rent"
171,"Age: >=25.5, Duration: >=15.5, Housing: own"
172,"Checking account: little, Duration: <15.5, Purpose: furniture/equipment"
173,"Checking account: moderate, Duration: >=15.5, Saving accounts: moderate"
174,"Duration: >=15.5, Purpose: radio/TV, Saving accounts: little"
175,"Checking account: little, Duration: >=15.5, Saving accounts: little"
176,"Credit amount: >=3913.5, Duration: >=15.5, Housing: free"
177,"Checking account: moderate, Duration: >=15.5, Purpose: business"
178,"Checking account: unknown, Credit amount: >=3913.5, Purpose: car"
179,"Checking account: little, Duration: <15.5, Job: 1"
180,"Age: >=25.5, Duration: <15.5, Saving accounts: unknown"
181,"Checking account: rich, Credit amount: <3913.5, Duration: >=15.5"
182,"Checking account: unknown, Duration: <15.5, Purpose: education"
183,"Age: >=25.5, Checking account: unknown, Credit amount: <3913.5"
184,"Duration: >=15.5, Housing: own, Purpose: furniture/equipment"
185,"Duration: >=15.5, Purpose: car, Saving accounts: little"
186,"Duration: >=15.5, Purpose: furniture/equipment, Saving accounts: little"
187,"Duration: <15.5, Housing: own, Purpose: furniture/equipment"
188,"Checking account: unknown, Duration: <15.5, Housing: rent"
189,"Credit amount: <3913.5, Duration: >=15.5, Housing: rent"
190,"Age: >=25.5, Checking account: moderate, Credit amount: <3913.5"
191,"Checking account: rich, Duration: <15.5, Purpose: radio/TV"
192,"Checking account: moderate, Credit amount: <3913.5, Saving accounts: little"
193,"Checking account: moderate, Credit amount: >=3913.5, Saving accounts: unknown"
194,"Age: <25.5, Checking account: little, Duration: <15.5"
195,"Duration: >=15.5, Housing: rent, Purpose: car"
196,"Checking account: unknown, Duration: <15.5, Housing: own"
197,"Age: >=25.5, Checking account: rich, Duration: <15.5"
198,"Age: >=25.5, Duration: >=15.5, Purpose: business"
199,"Age: >=25.5, Duration: >=15.5, Saving accounts: unknown"
200,"Age: >=25.5, Duration: >=15.5, Saving accounts: little"
201,"Age: >=25.5, Credit amount: <3913.5, Purpose: radio/TV"
202,"Duration: >=15.5, Housing: own, Purpose: radio/TV"
203,"Checking account: moderate, Duration: >=15.5, Housing: own"
204,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: moderate"
205,"Checking account: unknown, Credit amount: <3913.5, Saving accounts: unknown"
206,"Credit amount: <3913.5, Purpose: car, Saving accounts: little"
207,"Checking account: unknown, Credit amount: >=3913.5, Housing: own"
208,"Checking account: little, Credit amount: <3913.5, Saving accounts: little"
209,"Age: >=25.5, Duration: >=15.5, Purpose: radio/TV"
210,"Age: <25.5, Credit amount: <3913.5, Duration: >=15.5"
211,"Credit amount: <3913.5, Duration: <15.5, Job: 1"
212,"Age: >=25.5, Duration: <15.5, Purpose: furniture/equipment"
213,"Duration: <15.5, Purpose: car, Saving accounts: unknown"
214,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: business"
215,"Credit amount: >=3913.5, Purpose: car, Saving accounts: little"
216,"Checking account: little, Credit amount: <3913.5, Housing: rent"
217,"Checking account: moderate, Credit amount: >=3913.5, Purpose: car"
218,"Checking account: little, Credit amount: <3913.5, Purpose: radio/TV"
219,"Checking account: unknown, Duration: <15.5, Job: 2"
220,"Age: >=25.5, Checking account: little, Purpose: radio/TV"
221,"Age: >=25.5, Duration: <15.5, Housing: own"
222,"Age: >=25.5, Checking account: unknown, Duration: >=15.5"
223,"Age: >=25.5, Duration: <15.5, Housing: free"
224,"Duration: <15.5, Housing: rent, Purpose: car"
225,"Age: <25.5, Checking account: little, Duration: >=15.5"
226,"Duration: <15.5, Housing: own, Saving accounts: little"
227,"Duration: >=15.5, Housing: own, Purpose: business"
228,"Age: <25.5, Checking account: moderate, Credit amount: <3913.5"
229,"Checking account: rich, Purpose: radio/TV, Saving accounts: little"
230,"Checking account: moderate, Credit amount: <3913.5, Saving accounts: moderate"
231,"Age: <25.5, Duration: >=15.5, Saving accounts: little"
232,"Checking account: unknown, Duration: >=15.5, Saving accounts: quite rich"
233,"Checking account: unknown, Duration: >=15.5, Saving accounts: moderate"
234,"Age: >=25.5, Duration: >=15.5, Saving accounts: rich"
235,"Checking account: rich, Duration: <15.5, Housing: own"
