,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,{'Checking account': 'little'},0.6073,0.2124,0.5813,0.1986,0.55,-52.8,-0.0528,21.1544,0.1844,0.2253,0.3264,0.309,0.309,0.2287,0.0894,0.0429,0.0429,0.0309
0,"{'Checking account': 'little', 'Duration': '>=15.5'}",0.5639,0.3012,0.2647,0.0971,0.6733,-48.2,-0.0482,8.3566,0.1081,0.1518,0.5582,0.6256,0.6256,0.3661,0.0927,0.0425,0.0425,0.0359
0,{'Duration': '>=15.5'},0.704,0.1206,0.8084,0.5114,0.2967,-40.3,-0.0403,67.5733,0.154,0.1744,0.1176,0.1217,0.0819,0.1217,0.0669,0.0293,0.0293,0.0257
0,"{'Checking account': 'little', 'Duration': '>=15.5', 'Job': 2}",0.6036,0.2545,0.2632,0.0543,0.76,-39.0,-0.039,3.9382,0.1098,0.1608,0.5689,0.6271,0.6271,0.378,0.0626,0.0272,0.0238,0.0272
0,"{'Age': '>=25.5', 'Checking account': 'little'}",0.6049,0.1845,0.6481,0.1543,0.6733,-36.2,-0.0362,16.9864,0.0494,0.1406,0.2511,0.2421,0.2421,0.1518,0.0517,0.0262,0.0262,0.0149
0,"{'Age': '>=25.5', 'Checking account': 'little', 'Duration': '>=15.5'}",0.5285,0.2992,0.2923,0.0743,0.7633,-34.1,-0.0341,6.5951,0.0819,0.1695,0.5057,0.598,0.598,0.2961,0.0622,0.0311,0.0311,0.021
0,{'Credit amount': '>=3913.5'},0.6915,0.1515,0.7356,0.2129,0.63,-33.0,-0.033,25.6165,0.1601,0.1408,0.2231,0.2271,0.1547,0.2271,0.058,0.0252,0.0231,0.0252
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5', 'Saving accounts': 'little'}",0.6681,0.2217,0.5292,0.0929,0.7567,-31.6,-0.0316,9.1848,0.1257,0.133,0.4422,0.3878,0.3611,0.3864,0.061,0.0282,0.0235,0.0282
0,"{'Checking account': 'little', 'Credit amount': '<3913.5'}",0.6108,0.1685,0.6946,0.16,0.6967,-30.1,-0.0301,18.5379,0.3013,0.3733,0.1977,0.1956,0.1956,0.1024,0.0401,0.0219,0.0219,0.0093
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5'}",0.6927,0.1631,0.7164,0.1914,0.67,-29.1,-0.0291,23.1193,0.1868,0.1826,0.2454,0.2553,0.1739,0.2553,0.0572,0.0253,0.0233,0.0253
0,"{'Checking account': 'little', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.55,0.2635,0.3773,0.0629,0.8,-28.8,-0.0288,5.5846,0.2174,0.28,0.4554,0.513,0.513,0.2713,0.0474,0.0226,0.0226,0.0163
0,"{'Checking account': 'little', 'Duration': '>=15.5', 'Housing': 'own'}",0.5237,0.3113,0.281,0.06,0.8167,-25.9,-0.0259,5.4557,0.1372,0.1646,0.515,0.6093,0.6093,0.3038,0.05,0.0256,0.0256,0.0167
0,{'Checking account': 'moderate'},0.6743,0.0684,0.8878,0.2343,0.65,-24.3,-0.0243,29.9955,0.1448,0.1441,0.0083,0.0644,0.0025,-0.0644,0.0022,0.0068,0.0004,-0.0068
