,description
0,Duration: <15.5
1,Duration: >=15.5
2,Checking account: unknown
3,Purpose: car
4,Credit amount: >=3913.5
5,Checking account: little
6,Saving accounts: unknown
7,Purpose: radio/TV
8,"Duration: <15.5, Purpose: radio/TV"
9,"Credit amount: <3913.5, Duration: <15.5"
10,"Credit amount: >=3913.5, Duration: >=15.5"
11,"Checking account: unknown, Credit amount: >=3913.5"
12,"Duration: >=15.5, Purpose: furniture/equipment"
13,"Checking account: moderate, Duration: >=15.5"
14,"Duration: <15.5, Purpose: car"
15,"Credit amount: <3913.5, Duration: >=15.5"
16,"Duration: >=15.5, Saving accounts: unknown"
17,"Duration: >=15.5, Purpose: radio/TV"
18,"Checking account: unknown, Duration: <15.5"
19,"Duration: <15.5, Purpose: furniture/equipment"
20,"Credit amount: >=3913.5, Purpose: car"
21,"Duration: >=15.5, Purpose: car"
22,"Checking account: unknown, Duration: >=15.5"
23,"Checking account: little, Duration: >=15.5"
24,"Duration: <15.5, Saving accounts: quite rich"
25,"Duration: <15.5, Saving accounts: unknown"
26,"Checking account: little, Duration: <15.5"
27,"Duration: <15.5, Saving accounts: little"
28,"Duration: >=15.5, Housing: own"
29,"Duration: <15.5, Housing: rent"
30,"Checking account: moderate, Duration: <15.5"
31,"Duration: <15.5, Purpose: business"
32,"Duration: >=15.5, Saving accounts: little"
33,"Credit amount: >=3913.5, Housing: rent"
34,"Duration: >=15.5, Saving accounts: moderate"
35,"Checking account: little, Purpose: radio/TV"
36,"Duration: <15.5, Saving accounts: moderate"
37,"Duration: >=15.5, Purpose: business"
38,"Purpose: car, Saving accounts: unknown"
39,"Credit amount: >=3913.5, Saving accounts: unknown"
40,"Duration: >=15.5, Job: 2"
41,"Duration: <15.5, Housing: own"
42,"Checking account: rich, Duration: <15.5"
43,"Duration: <15.5, Job: 2"
44,"Age: <25.5, Saving accounts: unknown"
45,"Checking account: unknown, Saving accounts: unknown"
46,"Age: >=25.5, Duration: >=15.5"
47,"Purpose: radio/TV, Saving accounts: little"
48,"Job: 1, Purpose: radio/TV"
49,"Age: <25.5, Duration: >=15.5"
50,"Duration: >=15.5, Job: 3"
51,"Credit amount: <3913.5, Duration: <15.5, Purpose: radio/TV"
52,"Age: >=25.5, Credit amount: <3913.5, Duration: <15.5"
53,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: furniture/equipment"
54,"Checking account: unknown, Credit amount: >=3913.5, Duration: >=15.5"
55,"Credit amount: <3913.5, Duration: >=15.5, Purpose: furniture/equipment"
56,"Checking account: moderate, Duration: >=15.5, Purpose: car"
57,"Credit amount: <3913.5, Duration: <15.5, Purpose: car"
58,"Credit amount: <3913.5, Duration: >=15.5, Purpose: radio/TV"
59,"Credit amount: >=3913.5, Duration: >=15.5, Saving accounts: unknown"
60,"Checking account: unknown, Duration: <15.5, Purpose: car"
61,"Credit amount: <3913.5, Duration: <15.5, Purpose: furniture/equipment"
62,"Checking account: little, Credit amount: <3913.5, Duration: <15.5"
63,"Checking account: unknown, Duration: <15.5, Purpose: radio/TV"
64,"Checking account: moderate, Credit amount: <3913.5, Duration: >=15.5"
65,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: car"
66,"Credit amount: <3913.5, Duration: <15.5, Job: 2"
67,"Checking account: moderate, Credit amount: >=3913.5, Duration: >=15.5"
68,"Credit amount: <3913.5, Duration: >=15.5, Purpose: car"
69,"Credit amount: >=3913.5, Duration: >=15.5, Purpose: radio/TV"
70,"Checking account: unknown, Credit amount: <3913.5, Duration: >=15.5"
71,"Duration: >=15.5, Purpose: car, Saving accounts: little"
72,"Age: >=25.5, Duration: <15.5, Purpose: car"
73,"Checking account: little, Duration: >=15.5, Saving accounts: little"
74,"Checking account: little, Duration: >=15.5, Purpose: car"
75,"Checking account: little, Duration: >=15.5, Purpose: furniture/equipment"
76,"Checking account: unknown, Duration: >=15.5, Purpose: car"
77,"Duration: <15.5, Purpose: radio/TV, Saving accounts: unknown"
78,"Duration: >=15.5, Job: 2, Purpose: furniture/equipment"
79,"Credit amount: >=3913.5, Duration: >=15.5, Job: 3"
80,"Checking account: unknown, Credit amount: <3913.5, Duration: <15.5"
81,"Age: <25.5, Credit amount: <3913.5, Duration: <15.5"
82,"Checking account: unknown, Duration: >=15.5, Purpose: radio/TV"
83,"Duration: >=15.5, Purpose: radio/TV, Saving accounts: quite rich"
84,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: quite rich"
85,"Checking account: moderate, Duration: <15.5, Purpose: car"
86,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: unknown"
87,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: little"
88,"Duration: >=15.5, Housing: own, Purpose: business"
89,"Checking account: unknown, Duration: <15.5, Housing: rent"
90,"Age: >=25.5, Credit amount: >=3913.5, Duration: >=15.5"
91,"Checking account: moderate, Duration: >=15.5, Saving accounts: unknown"
92,"Duration: <15.5, Purpose: radio/TV, Saving accounts: little"
93,"Checking account: moderate, Credit amount: <3913.5, Duration: <15.5"
94,"Credit amount: <3913.5, Duration: <15.5, Purpose: business"
95,"Checking account: moderate, Duration: >=15.5, Purpose: radio/TV"
96,"Checking account: unknown, Duration: >=15.5, Saving accounts: little"
97,"Checking account: little, Duration: >=15.5, Purpose: radio/TV"
98,"Credit amount: >=3913.5, Duration: >=15.5, Saving accounts: little"
99,"Checking account: little, Duration: <15.5, Purpose: radio/TV"
100,"Age: <25.5, Credit amount: >=3913.5, Housing: rent"
101,"Duration: <15.5, Job: 2, Purpose: radio/TV"
102,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: little"
103,"Credit amount: >=3913.5, Duration: >=15.5, Saving accounts: moderate"
104,"Checking account: little, Credit amount: <3913.5, Purpose: radio/TV"
105,"Checking account: unknown, Duration: <15.5, Saving accounts: little"
106,"Checking account: moderate, Duration: <15.5, Purpose: radio/TV"
107,"Duration: >=15.5, Purpose: radio/TV, Saving accounts: unknown"
108,"Duration: <15.5, Purpose: car, Saving accounts: little"
109,"Checking account: unknown, Duration: <15.5, Saving accounts: unknown"
110,"Checking account: unknown, Duration: <15.5, Purpose: business"
111,"Duration: >=15.5, Purpose: radio/TV, Saving accounts: little"
112,"Checking account: unknown, Duration: >=15.5, Purpose: furniture/equipment"
113,"Checking account: little, Duration: <15.5, Purpose: car"
114,"Duration: <15.5, Housing: own, Purpose: car"
115,"Credit amount: <3913.5, Duration: <15.5, Housing: rent"
116,"Duration: <15.5, Job: 2, Saving accounts: moderate"
117,"Duration: >=15.5, Purpose: car, Saving accounts: unknown"
118,"Checking account: little, Credit amount: <3913.5, Duration: >=15.5"
119,"Duration: <15.5, Job: 1, Saving accounts: little"
120,"Duration: <15.5, Job: 2, Purpose: car"
121,"Checking account: unknown, Duration: >=15.5, Saving accounts: quite rich"
122,"Duration: >=15.5, Purpose: furniture/equipment, Saving accounts: little"
123,"Age: >=25.5, Checking account: unknown, Duration: >=15.5"
124,"Duration: <15.5, Housing: own, Saving accounts: unknown"
125,"Checking account: unknown, Duration: <15.5, Housing: own"
126,"Checking account: moderate, Duration: <15.5, Purpose: business"
127,"Age: >=25.5, Duration: <15.5, Saving accounts: little"
128,"Duration: <15.5, Job: 2, Saving accounts: little"
129,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: unknown"
130,"Credit amount: >=3913.5, Purpose: car, Saving accounts: unknown"
131,"Credit amount: <3913.5, Duration: <15.5, Housing: own"
132,"Age: >=25.5, Checking account: moderate, Duration: >=15.5"
133,"Age: >=25.5, Duration: >=15.5, Purpose: furniture/equipment"
134,"Checking account: unknown, Duration: >=15.5, Saving accounts: moderate"
135,"Checking account: unknown, Duration: >=15.5, Saving accounts: rich"
136,"Credit amount: >=3913.5, Housing: rent, Saving accounts: unknown"
137,"Credit amount: >=3913.5, Duration: >=15.5, Housing: own"
138,"Checking account: little, Duration: <15.5, Job: 2"
139,"Checking account: little, Duration: <15.5, Purpose: furniture/equipment"
140,"Checking account: moderate, Duration: >=15.5, Purpose: business"
141,"Checking account: moderate, Duration: >=15.5, Job: 2"
142,"Checking account: rich, Duration: <15.5, Purpose: car"
143,"Checking account: unknown, Duration: <15.5, Purpose: education"
144,"Age: <25.5, Duration: >=15.5, Saving accounts: unknown"
145,"Checking account: unknown, Duration: >=15.5, Saving accounts: unknown"
146,"Age: >=25.5, Duration: >=15.5, Housing: own"
147,"Checking account: unknown, Duration: <15.5, Saving accounts: moderate"
148,"Credit amount: <3913.5, Job: 1, Purpose: radio/TV"
149,"Checking account: moderate, Duration: >=15.5, Saving accounts: little"
150,"Credit amount: <3913.5, Duration: >=15.5, Housing: own"
151,"Checking account: unknown, Duration: >=15.5, Purpose: business"
152,"Age: >=25.5, Duration: >=15.5, Purpose: radio/TV"
153,"Checking account: unknown, Duration: <15.5, Job: 2"
154,"Age: <25.5, Duration: >=15.5, Purpose: furniture/equipment"
155,"Checking account: moderate, Duration: <15.5, Job: 2"
156,"Checking account: little, Duration: <15.5, Housing: own"
157,"Age: >=25.5, Credit amount: <3913.5, Duration: >=15.5"
158,"Checking account: unknown, Duration: <15.5, Saving accounts: quite rich"
159,"Duration: >=15.5, Job: 2, Purpose: radio/TV"
160,"Credit amount: <3913.5, Duration: <15.5, Saving accounts: moderate"
161,"Age: <25.5, Duration: >=15.5, Purpose: radio/TV"
162,"Age: >=25.5, Duration: >=15.5, Purpose: business"
163,"Checking account: little, Credit amount: >=3913.5, Duration: >=15.5"
164,"Duration: <15.5, Purpose: car, Saving accounts: unknown"
165,"Checking account: little, Duration: >=15.5, Housing: own"
166,"Age: >=25.5, Checking account: rich, Duration: <15.5"
167,"Checking account: unknown, Duration: >=15.5, Job: 2"
168,"Age: <25.5, Credit amount: <3913.5, Duration: >=15.5"
169,"Duration: <15.5, Purpose: business, Saving accounts: little"
170,"Age: >=25.5, Duration: >=15.5, Purpose: car"
171,"Duration: <15.5, Housing: own, Saving accounts: little"
172,"Credit amount: <3913.5, Duration: >=15.5, Saving accounts: moderate"
173,"Checking account: unknown, Duration: >=15.5, Job: 3"
174,"Credit amount: <3913.5, Duration: >=15.5, Job: 2"
175,"Duration: >=15.5, Housing: own, Purpose: radio/TV"
176,"Duration: >=15.5, Purpose: radio/TV, Saving accounts: moderate"
177,"Credit amount: <3913.5, Duration: >=15.5, Purpose: business"
178,"Duration: >=15.5, Job: 2, Saving accounts: little"
179,"Checking account: unknown, Duration: >=15.5, Housing: own"
180,"Age: >=25.5, Duration: >=15.5, Job: 3"
181,"Age: >=25.5, Duration: >=15.5, Job: 2"
