Unnamed: 0,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,{'Checking account': 'unknown'},0.8838,0.0,1.0,0.4971,0.8467,72.2,0.0722,92.2112,0.0017,0.0111,0.1979,0.401,-0.1097,-0.401,0.078,0.0382,-0.0382,-0.0184
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.8399,0.0025,0.997,0.3857,0.83,45.3,0.0453,68.1308,0.0132,0.0235,0.1947,0.3975,-0.1068,-0.3975,0.0625,0.0288,-0.0288,-0.0203
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.8064,0.0168,0.9792,0.4671,0.7433,44.2,0.0442,79.4027,0.087,0.1591,0.1677,0.3326,-0.0889,-0.3326,0.0678,0.0291,-0.0291,-0.0256
0,"{'Checking account': 'unknown', 'Duration': '<15.5'}",0.9333,0.0,1.0,0.24,0.96,42.0,0.042,47.04,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0357,0.0184,-0.0184,-0.0049
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.9415,0.0,1.0,0.23,0.9667,41.3,0.0413,45.4754,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0339,0.0177,-0.0177,-0.0041
0,{'Duration': '<15.5'},0.7986,0.019,0.976,0.4886,0.7033,40.3,0.0403,81.4135,0.0756,0.121,0.1552,0.2885,-0.0857,-0.2885,0.0669,0.0293,-0.0293,-0.0257
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own'}",0.8364,0.0074,0.9911,0.3529,0.8333,39.1,0.0391,61.6253,0.0617,0.18,0.1789,0.3333,-0.1008,-0.3333,0.0531,0.0249,-0.0249,-0.0167
0,"{'Duration': '<15.5', 'Housing': 'own'}",0.828,0.0083,0.9898,0.3657,0.8067,36.2,0.0362,62.614,0.059,0.1535,0.1691,0.2915,-0.0996,-0.2915,0.0531,0.0255,-0.0255,-0.0169
0,"{'Checking account': 'unknown', 'Duration': '<15.5', 'Housing': 'own'}",0.9385,0.0,1.0,0.1743,0.9733,31.0,0.031,34.3477,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0258,0.0134,-0.0134,-0.0032
0,"{'Checking account': 'unknown', 'Duration': '>=15.5'}",0.8421,0.0,1.0,0.2571,0.8867,30.2,0.0302,45.4206,0.0037,0.0154,0.1975,0.3995,-0.1097,-0.3995,0.0423,0.0197,-0.0197,-0.0136
